n,min(ms),max(ms),avg(ms),repeated,max rel. err,avg rel. err,max rel. err (%),avg rel. err (%)
4,0.0005,0.0019,0.0007,100000,0.148,0.016,14.815,1.62
10,0.002,0.0077,0.0044,10000,0.016,0.001,1.613,0.135
15,0.003,0.021,0.0128,1000,0.006,0.001,0.565,0.1
20,0.005,0.034,0.0274,1000,0.003,0,0.343,0.026
22,0.005,0.052,0.0357,1000,0.004,0,0.384,0.032
25,0.009,0.065,0.052,1000,0.003,0,0.31,0.027
27,0.008,0.075,0.063,1000,0.002,0,0.185,0.017
30,0.01,0.123,0.0931,1000,0.003,0,0.27,0.03
32,0.01,0.133,0.1026,1000,0.001,0,0.13,0.013
35,0.01,0.194,0.1339,1000,0.001,0,0.117,0.011
37,0.012,0.214,0.1495,1000,0.001,0,0.083,0.006
40,0.014,0.252,0.1899,1000,0.001,0,0.064,0.005
