n,min(ms),max(ms),avg(ms),repeated,max rel. err,avg rel. err,max rel. err (%),avg rel. err (%)
4,0.0007,0.0022,0.001,100000,0.043,0.002,4.331,0.161
10,0.0027,0.0116,0.0083,10000,0.011,0.001,1.081,0.053
15,0.005,0.055,0.0304,1000,0.003,0,0.287,0.028
20,0.009,0.097,0.069,1000,0.001,0,0.128,0.003
22,0.01,0.149,0.0912,1000,0,0,0,0
25,0.013,0.165,0.1334,1000,0.001,0,0.099,0.003
27,0.014,0.218,0.1629,1000,0.001,0,0.057,0.002
30,0.018,0.295,0.2201,1000,0.001,0,0.058,0.002
32,0.019,0.436,0.2641,1000,0.001,0,0.052,0.002
35,0.023,0.49,0.3345,1000,0,0,0,0
37,0.028,0.577,0.3982,1000,0.001,0,0.05,0.002
40,0.029,0.632,0.4924,1000,0.001,0,0.051,0.003
