n,min(ms),max(ms),avg(ms),repeated,max rel. err,avg rel. err,max rel. err (%),avg rel. err (%)
4,0.0007,0.002,0.001,100000,0.043,0.002,4.331,0.161
10,0.0025,0.0105,0.0082,10000,0.011,0.001,1.081,0.053
15,0.005,0.05,0.028,1000,0.003,0,0.287,0.028
20,0.009,0.109,0.0676,1000,0.001,0,0.128,0.003
22,0.01,0.132,0.0915,1000,0,0,0,0
25,0.015,0.172,0.1398,1000,0.001,0,0.099,0.003
27,0.015,0.228,0.1704,1000,0.001,0,0.057,0.002
30,0.018,0.312,0.2315,1000,0.001,0,0.058,0.002
32,0.021,0.358,0.2517,1000,0.001,0,0.052,0.002
35,0.024,0.468,0.3428,1000,0,0,0,0
37,0.025,0.548,0.3919,1000,0.001,0,0.05,0.002
40,0.029,0.688,0.4944,1000,0.001,0,0.051,0.003
