n,min(ms),max(ms),avg(ms),repeated,max rel. err,avg rel. err,max rel. err (%),avg rel. err (%)
4,0.0006,0.0021,0.0009,100000,0.1,0.01,9.957,0.991
10,0.002,0.0086,0.0062,10000,0.014,0.001,1.376,0.081
15,0.004,0.026,0.0188,1000,0.005,0,0.492,0.044
20,0.005,0.054,0.0425,1000,0.003,0,0.343,0.022
22,0.006,0.07,0.0565,1000,0.002,0,0.242,0.009
25,0.01,0.105,0.0817,1000,0.002,0,0.188,0.01
27,0.009,0.156,0.0994,1000,0.001,0,0.143,0.012
30,0.01,0.18,0.1364,1000,0.001,0,0.125,0.009
32,0.01,0.215,0.1581,1000,0.001,0,0.087,0.005
35,0.026,0.323,0.2096,1000,0.001,0,0.088,0.006
37,0.014,0.312,0.2373,1000,0.001,0,0.08,0.004
40,0.019,0.392,0.2924,1000,0.001,0,0.064,0.004
